Process,Environmental Impact,Value
Electricity,Acidification,0.009375
Landfill,Acidification,0.002366071
Aluminium Refining,Acidification,0.052321429
Primary Ingot Production,Acidification,0.848214286
Aluminium Sheet Production,Acidification,0.052857143
Transportation,Acidification,0.003366071
Transportation,Acidification,0.005303571
Transportation,Acidification,0.019196429
Diesel,Acidification,0.002616071
Electricity,Ecotoxicity,0.022580645
Landfill,Ecotoxicity,0.006044143
Aluminium Refining,Ecotoxicity,0.037860781
Primary Ingot Production,Ecotoxicity,0.721561969
Aluminium Sheet Production,Ecotoxicity,0.066213922
Transportation,Ecotoxicity,6.35E-09
Transportation,Ecotoxicity,9.80E-09
Transportation,Ecotoxicity,4.11E-08
Diesel,Ecotoxicity,0.150933786
Electricity,Eutrophication,0.026010638
Landfill,Eutrophication,0.003031915
Aluminium Refining,Eutrophication,0.099202128
Primary Ingot Production,Eutrophication,0.664893617
Aluminium Sheet Production,Eutrophication,0.121542553
Transportation,Eutrophication,0.006409574
Transportation,Eutrophication,0.010106383
Transportation,Eutrophication,0.036702128
Diesel,Eutrophication,0.032446809
Electricity,Global Warming Air,0.018779528
Landfill,Global Warming Air,0.003464567
Aluminium Refining,Global Warming Air,0.067716535
Primary Ingot Production,Global Warming Air,0.779527559
Aluminium Sheet Production,Global Warming Air,0.101968504
Transportation,Global Warming Air,0.002637795
Transportation,Global Warming Air,0.004212598
Transportation,Global Warming Air,0.015944882
Diesel,Global Warming Air,0.002850394
Electricity,Smog Air,0.009788732
Landfill,Smog Air,0.003366197
Aluminium Refining,Smog Air,0.097887324
Primary Ingot Production,Smog Air,0.746478873
Aluminium Sheet Production,Smog Air,0.083802817
Transportation,Smog Air,0.006183099
Transportation,Smog Air,0.00971831
Transportation,Smog Air,0.03528169
Diesel,Smog Air,0.003887324
Electricity,Human Toxicity,0.019796584
Landfill,Human Toxicity,0.032806483
Aluminium Refining,Human Toxicity,0.019726966
Primary Ingot Production,Human Toxicity,0.868486892
Aluminium Sheet Production,Human Toxicity,0.01891983
Transportation,Human Toxicity,2.37E-08
Transportation,Human Toxicity,3.65E-08
Transportation,Human Toxicity,1.53E-07
Diesel,Human Toxicity,0.035028826
