Process,Environmental Impact,Value
EU-28: Electricity grid mix ts,Acidification,1%
EU-28: Ferro metals on landfill ts,Acidification,0%
EU28+EFTA: Aluminium refining: casting alloy ingot from scrap (2010) European Aluminium <p-agg>,Acidification,5%
EU28+EFTA: Primary aluminium ingot consumption mix (2015) European Aluminium,Acidification,85%
EU28+EFTA+Turkey: Aluminium sheet (2015) European Aluminium <p-agg>,Acidification,5%
"GLO: Truck, Euro 4, 20 - 26t gross weight / 17.3t payload capacity ts <u-so>",Acidification,0%
"GLO: Truck, Euro 4, 20 - 26t gross weight / 17.3t payload capacity ts <u-so>",Acidification,1%
"GLO: Truck, Euro 4, 28 - 32t gross weight / 22t payload capacity ts <u-so>",Acidification,2%
US: Diesel mix at refinery ts,Acidification,0%
EU-28: Electricity grid mix ts,Ecotoxicity,2%
EU-28: Ferro metals on landfill ts,Ecotoxicity,1%
EU28+EFTA: Aluminium refining: casting alloy ingot from scrap (2010) European Aluminium <p-agg>,Ecotoxicity,4%
EU28+EFTA: Primary aluminium ingot consumption mix (2015) European Aluminium,Ecotoxicity,72%
EU28+EFTA+Turkey: Aluminium sheet (2015) European Aluminium <p-agg>,Ecotoxicity,7%
"GLO: Truck, Euro 4, 20 - 26t gross weight / 17.3t payload capacity ts <u-so>",Ecotoxicity,0%
"GLO: Truck, Euro 4, 20 - 26t gross weight / 17.3t payload capacity ts <u-so>",Ecotoxicity,0%
"GLO: Truck, Euro 4, 28 - 32t gross weight / 22t payload capacity ts <u-so>",Ecotoxicity,0%
US: Diesel mix at refinery ts,Ecotoxicity,15%
EU-28: Electricity grid mix ts,Eutrophication,3%
EU-28: Ferro metals on landfill ts,Eutrophication,0%
EU28+EFTA: Aluminium refining: casting alloy ingot from scrap (2010) European Aluminium <p-agg>,Eutrophication,10%
EU28+EFTA: Primary aluminium ingot consumption mix (2015) European Aluminium,Eutrophication,66%
EU28+EFTA+Turkey: Aluminium sheet (2015) European Aluminium <p-agg>,Eutrophication,12%
"GLO: Truck, Euro 4, 20 - 26t gross weight / 17.3t payload capacity ts <u-so>",Eutrophication,1%
"GLO: Truck, Euro 4, 20 - 26t gross weight / 17.3t payload capacity ts <u-so>",Eutrophication,1%
"GLO: Truck, Euro 4, 28 - 32t gross weight / 22t payload capacity ts <u-so>",Eutrophication,4%
US: Diesel mix at refinery ts,Eutrophication,3%
EU-28: Electricity grid mix ts,Global Warming Air,2%
EU-28: Ferro metals on landfill ts,Global Warming Air,0%
EU28+EFTA: Aluminium refining: casting alloy ingot from scrap (2010) European Aluminium <p-agg>,Global Warming Air,7%
EU28+EFTA: Primary aluminium ingot consumption mix (2015) European Aluminium,Global Warming Air,78%
EU28+EFTA+Turkey: Aluminium sheet (2015) European Aluminium <p-agg>,Global Warming Air,10%
"GLO: Truck, Euro 4, 20 - 26t gross weight / 17.3t payload capacity ts <u-so>",Global Warming Air,0%
"GLO: Truck, Euro 4, 20 - 26t gross weight / 17.3t payload capacity ts <u-so>",Global Warming Air,0%
"GLO: Truck, Euro 4, 28 - 32t gross weight / 22t payload capacity ts <u-so>",Global Warming Air,2%
US: Diesel mix at refinery ts,Global Warming Air,0%
EU-28: Electricity grid mix ts,Smog Air,1%
EU-28: Ferro metals on landfill ts,Smog Air,0%
EU28+EFTA: Aluminium refining: casting alloy ingot from scrap (2010) European Aluminium <p-agg>,Smog Air,10%
EU28+EFTA: Primary aluminium ingot consumption mix (2015) European Aluminium,Smog Air,75%
EU28+EFTA+Turkey: Aluminium sheet (2015) European Aluminium <p-agg>,Smog Air,8%
"GLO: Truck, Euro 4, 20 - 26t gross weight / 17.3t payload capacity ts <u-so>",Smog Air,1%
"GLO: Truck, Euro 4, 20 - 26t gross weight / 17.3t payload capacity ts <u-so>",Smog Air,1%
"GLO: Truck, Euro 4, 28 - 32t gross weight / 22t payload capacity ts <u-so>",Smog Air,4%
US: Diesel mix at refinery ts,Smog Air,0%
EU-28: Electricity grid mix ts,Human Cancer  + non Cancer,2%
EU-28: Ferro metals on landfill ts,Human Cancer  + non Cancer,3%
EU28+EFTA: Aluminium refining: casting alloy ingot from scrap (2010) European Aluminium <p-agg>,Human Cancer  + non Cancer,2%
EU28+EFTA: Primary aluminium ingot consumption mix (2015) European Aluminium,Human Cancer  + non Cancer,87%
EU28+EFTA+Turkey: Aluminium sheet (2015) European Aluminium <p-agg>,Human Cancer  + non Cancer,2%
"GLO: Truck, Euro 4, 20 - 26t gross weight / 17.3t payload capacity ts <u-so>",Human Cancer  + non Cancer,0%
"GLO: Truck, Euro 4, 20 - 26t gross weight / 17.3t payload capacity ts <u-so>",Human Cancer  + non Cancer,0%
"GLO: Truck, Euro 4, 28 - 32t gross weight / 22t payload capacity ts <u-so>",Human Cancer  + non Cancer,0%
US: Diesel mix at refinery ts,Human Cancer  + non Cancer,4%
